Date,T
1981-1,17.06
1981-1,18.13
1981-1,20.36
1981-1,16.33
1981-1,17.41
1981-2,16.97
1981-2,18.93
1981-2,16.03
1981-2,17.86
1981-3,13.63
1981-3,12.21
1981-3,11.83
1981-3,14.59
1981-4,15.86
1981-4,12.54
1981-4,11.59
1981-4,9.53
1981-4,10.57
1981-5,9.61
1981-5,6.76
1981-5,9.40
1981-5,11.31
1981-6,6.51
1981-6,7.60
1981-6,5.21
1981-6,8.94
1981-7,7.70
1981-7,6.61
1981-7,8.37
1981-7,8.39
1981-7,6.47
1981-8,5.86
1981-8,9.09
1981-8,7.13
1981-8,7.09
1981-9,10.41
1981-9,10.57
1981-9,10.34
1981-9,9.53
1981-10,10.83
1981-10,9.01
1981-10,9.89
1981-10,10.13
1981-10,11.67
1981-11,11.36
1981-11,10.17
1981-11,12.73
1981-11,13.26
1981-12,13.36
1981-12,13.04
1981-12,13.60
1981-12,14.69
1981-12,14.80
1982-1,16.87
1982-1,18.54
1982-1,16.99
1982-1,14.76
1982-2,16.39
1982-2,19.41
1982-2,14.44
1982-2,12.37
1982-3,15.83
1982-3,15.91
1982-3,15.00
1982-3,14.37
1982-4,11.24
1982-4,13.39
1982-4,10.99
1982-4,10.57
1982-4,10.30
1982-5,8.89
1982-5,9.09
1982-5,8.87
1982-5,10.57
1982-6,2.54
1982-6,6.83
1982-6,7.44
1982-6,4.91
1982-7,4.36
1982-7,5.06
1982-7,3.64
1982-7,6.34
1982-7,6.24
1982-8,7.49
1982-8,7.60
1982-8,8.76
1982-8,9.43
1982-9,6.09
1982-9,8.51
1982-9,6.13
1982-9,8.20
1982-10,9.33
1982-10,9.47
1982-10,8.50
1982-10,10.86
1982-10,10.47
1982-11,12.74
1982-11,12.13
1982-11,13.27
1982-11,12.97
1982-12,12.10
1982-12,14.81
1982-12,13.34
1982-12,15.47
1983-1,13.63
1983-1,12.37
1983-1,13.00
1983-1,13.36
1983-1,15.21
1983-2,17.69
1983-2,15.71
1983-2,16.11
1983-2,20.59
1983-3,17.50
1983-3,15.17
1983-3,14.84
1983-3,12.07
1983-4,8.84
1983-4,11.99
1983-4,8.87
1983-4,12.21
1983-4,12.70
1983-5,11.29
1983-5,8.30
1983-5,8.77
1983-5,9.33
1983-6,7.59
1983-6,6.31
1983-6,6.14
1983-6,5.59
1983-7,8.56
1983-7,6.16
1983-7,5.23
1983-7,6.57
1983-7,8.04
1983-8,9.14
1983-8,8.43
1983-8,9.36
1983-8,9.33
1983-9,10.06
1983-9,6.63
1983-9,10.57
1983-9,9.26
1983-10,8.81
1983-10,10.16
1983-10,10.90
1983-10,11.80
1983-10,10.57
1983-11,10.41
1983-11,10.21
1983-11,12.81
1983-11,14.74
1983-12,13.16
1983-12,13.50
1983-12,15.77
1983-12,15.40
1983-12,15.86
1984-1,14.43
1984-1,15.01
1984-1,13.43
1984-1,12.76
1984-2,15.67
1984-2,15.23
1984-2,16.19
1984-2,12.34
1984-3,13.56
1984-3,12.73
1984-3,14.23
1984-3,11.83
1984-3,10.09
1984-4,10.80
1984-4,12.04
1984-4,10.64
1984-4,10.14
1984-5,6.34
1984-5,6.60
1984-5,9.37
1984-5,8.84
1984-6,9.73
1984-6,6.20
1984-6,6.17
1984-6,8.40
1984-6,4.21
1984-7,7.11
1984-7,5.64
1984-7,6.93
1984-7,10.20
1984-8,9.44
1984-8,7.89
1984-8,8.21
1984-8,8.03
1984-9,8.33
1984-9,7.90
1984-9,8.93
1984-9,7.41
1984-9,9.74
1984-10,12.86
1984-10,7.97
1984-10,11.14
1984-10,11.74
1984-11,12.80
1984-11,11.49
1984-11,12.00
1984-11,13.84
1984-12,11.17
1984-12,12.57
1984-12,12.61
1984-12,13.69
1984-12,13.76
1985-1,13.79
1985-1,14.53
1985-1,14.56
1985-1,14.21
1985-2,15.67
1985-2,14.24
1985-2,13.73
1985-2,13.31
1985-3,12.97
1985-3,19.76
1985-3,17.59
1985-3,13.64
1985-4,15.89
1985-4,17.69
1985-4,9.99
1985-4,8.90
1985-4,10.54
1985-5,11.80
1985-5,7.73
1985-5,7.03
1985-5,9.17
1985-6,6.16
1985-6,8.30
1985-6,6.44
1985-6,8.01
1985-7,7.87
1985-7,6.66
1985-7,5.77
1985-7,3.59
1985-7,6.90
1985-8,8.57
1985-8,8.21
1985-8,7.01
1985-8,7.87
1985-9,7.66
1985-9,10.89
1985-9,7.99
1985-9,8.70
1985-9,9.60
1985-10,11.23
1985-10,10.69
1985-10,9.57
1985-10,10.37
1985-11,14.70
1985-11,13.79
1985-11,11.40
1985-11,13.93
1985-12,15.99
1985-12,14.57
1985-12,13.51
1985-12,12.27
1985-12,13.47
1986-1,13.77
1986-1,13.27
1986-1,14.01
1986-1,15.29
1986-2,13.41
1986-2,15.71
1986-2,14.36
1986-2,13.61
1986-3,15.19
1986-3,12.79
1986-3,15.39
1986-3,14.96
1986-3,13.34
1986-4,10.49
1986-4,13.19
1986-4,11.54
1986-4,9.03
1986-5,10.39
1986-5,11.16
1986-5,10.56
1986-5,9.54
1986-6,8.87
1986-6,8.46
1986-6,6.86
1986-6,6.40
1986-6,6.66
1986-7,5.56
1986-7,7.77
1986-7,6.57
1986-7,8.29
1986-8,6.53
1986-8,5.54
1986-8,9.11
1986-8,7.63
1986-9,9.34
1986-9,8.69
1986-9,8.83
1986-9,9.53
1986-9,9.94
1986-10,8.46
1986-10,10.64
1986-10,8.04
1986-10,10.73
1986-11,13.23
1986-11,12.19
1986-11,10.76
1986-11,11.34
1986-12,15.57
1986-12,11.70
1986-12,11.33
1986-12,12.67
1986-12,14.16
1987-1,13.57
1987-1,13.31
1987-1,12.34
1987-1,13.60
1987-2,13.53
1987-2,13.73
1987-2,15.71
1987-2,12.24
1987-3,12.93
1987-3,10.80
1987-3,14.64
1987-3,12.24
1987-3,12.70
1987-4,14.21
1987-4,11.33
1987-4,9.09
1987-4,12.23
1987-5,10.10
1987-5,12.56
1987-5,9.66
1987-5,7.31
1987-6,8.87
1987-6,8.51
1987-6,7.23
1987-6,8.63
1987-6,5.64
1987-7,6.01
1987-7,6.76
1987-7,5.09
1987-7,7.87
1987-8,8.06
1987-8,8.17
1987-8,6.53
1987-8,9.24
1987-8,6.19
1987-9,8.70
1987-9,9.94
1987-9,12.20
1987-9,11.66
1987-10,8.76
1987-10,10.03
1987-10,11.03
1987-10,12.47
1987-11,13.50
1987-11,11.67
1987-11,14.96
1987-11,11.57
1987-11,11.21
1987-12,13.53
1987-12,15.04
1987-12,12.50
1987-12,14.51
1988-1,16.20
1988-1,19.20
1988-1,14.97
1988-1,16.51
1988-2,13.60
1988-2,14.56
1988-2,13.91
1988-2,15.77
1988-2,14.41
1988-3,14.10
1988-3,14.04
1988-3,15.34
1988-3,16.53
1988-4,11.43
1988-4,12.19
1988-4,12.14
1988-4,14.63
1988-5,14.57
1988-5,11.17
1988-5,10.70
1988-5,9.80
1988-5,9.86
1988-6,8.39
1988-6,6.71
1988-6,7.94
1988-6,7.44
1988-7,9.21
1988-7,8.09
1988-7,8.10
1988-7,8.67
1988-8,8.00
1988-8,7.60
1988-8,10.56
1988-8,8.13
1988-8,10.24
1988-9,10.91
1988-9,7.76
1988-9,10.44
1988-9,10.57
1988-10,10.37
1988-10,10.47
1988-10,11.34
1988-10,11.17
1988-10,11.84
1988-11,13.61
1988-11,11.13
1988-11,12.81
1988-11,13.69
1988-12,14.21
1988-12,18.36
1988-12,15.50
1988-12,13.70
1989-1,14.36
1989-1,14.60
1989-1,14.53
1989-1,16.86
1989-1,15.20
1989-2,16.56
1989-2,18.26
1989-2,15.19
1989-2,19.83
1989-3,18.17
1989-3,14.50
1989-3,13.77
1989-3,12.44
1989-4,14.21
1989-4,12.41
1989-4,9.64
1989-4,13.51
1989-5,11.83
1989-5,11.63
1989-5,9.04
1989-5,10.14
1989-5,5.87
1989-6,8.51
1989-6,9.59
1989-6,5.21
1989-6,5.01
1989-7,7.16
1989-7,5.16
1989-7,4.87
1989-7,7.60
1989-8,7.14
1989-8,6.83
1989-8,6.84
1989-8,6.46
1989-8,7.33
1989-9,8.20
1989-9,8.21
1989-9,8.90
1989-9,8.83
1989-10,8.84
1989-10,9.93
1989-10,10.69
1989-10,10.71
1989-10,10.77
1989-11,10.59
1989-11,12.80
1989-11,15.09
1989-11,15.89
1989-12,15.17
1989-12,13.14
1989-12,13.46
1989-12,13.33
1990-1,14.89
1990-1,17.61
1990-1,13.40
1990-1,16.33
1990-1,14.39
1990-2,15.21
1990-2,15.06
1990-2,16.46
1990-2,18.73
1990-3,13.87
1990-3,12.64
1990-3,15.53
1990-3,14.41
1990-4,14.36
1990-4,14.74
1990-4,13.07
1990-4,11.11
1990-5,12.87
1990-5,9.96
1990-5,9.26
1990-5,8.17
1990-5,7.89
1990-6,7.87
1990-6,7.43
1990-6,8.56
1990-6,6.36
1990-7,7.89
1990-7,8.36
1990-7,9.21
1990-7,7.97
1990-7,7.76
1990-8,7.49
1990-8,8.46
1990-8,6.81
1990-8,8.30
1990-9,7.80
1990-9,9.77
1990-9,9.63
1990-9,10.26
1990-10,10.06
1990-10,10.30
1990-10,10.51
1990-10,13.51
1990-10,13.36
1990-11,14.10
1990-11,11.90
1990-11,11.86
1990-11,13.37
1990-12,16.86
1990-12,12.84
1990-12,13.93
1990-12,13.90